name,cost,type,rules,flavor,metatype,name 2,cost2,type2,rules2
Supression Field,UU,Legendary Enchantment,"
Pay 4 life: ~this~ loses all abilities until end of turn. Any player may activate this ability.
If a blocking creature would deal combat damage to a creature, prevent 7 of that damage. 
",,double,Mystical Hermit,GG,Creature - Human Shaman (1/1),"At the beginning of each player's upkeep, you may Sacrifice ~this~. If you do, Return target enchantment card from your graveyard to the battlefield"
Aurataker Recruit,W,Creature - Kithkin Soldier (2/1),"
Whenever ~this~ blocks, target opponent may Pay 2 life. If that player doesn't, attach target Aura to target white creature. (Control of that Aura doesn't change.) and regenerate that Aura",,,,,,
Glistening Springfield,,Land,"
All green permanents are Plains lands in addition to their other types (Forests are colourless, not green) 
When ~this~ leaves the battlefield, attach target Equipment to target attacking or blocking creature. (Control of that Equipment doesn't change.)
","--His frog sings just one song and can defeat the hugest smoke
– Laideath Icram, Baron of the Deep",double,Befuzzle,U,Instant,target artifact creature gets -1/-0 until end of turn and that creature gets -2/-0 until end of turn
Runaway Fae,1,Creature - Spirit (1/1),"
fear",,,,,,
"Obael, the Decaying",BR,Legendary Artifact Creature - Gargoyle (1/2),"
When ~this~ leaves the battlefield, you may Sacrifice a land. If you do, draw two cards, then discard a card
flying","--Humanity instructs far hotter than the grandest plot
– Anonymous (?)",,,,,
Struttak Hatchling,(R/G)(R/G),Creature - Beast (1/2),"At the beginning of your upkeep you may pay 2, if you do put a +1/+1 counter on ~this~",--They grow up so fast.,,,,,
Boost Injection,RR,Sorcery - Generated,"
two target creatures get +2/+0 until end of turn","--Humanity can defeat the rifle
– Eisheicass, Deft Cleric",,,,,
ItS CaRDdrAw,2GG,Sorcery,"
draw a card",,,,,,
Breadbender,RR,Creature - Human Rogue (1/1),"
2: ~this~ deals 1 damage to target player for each red enchantment you control
At the beginning of each opponent's upkeep, two target enchantments gain ''Sacrifice a white creature: destroy all artifacts'' (This effect doesn't end)","--Her bread made of steel enlarges the fastest park
– Foucault (unknown)",,,,,
Sphere of Filth,1U,Enchantment - Aura,"
Flash
Enchant creature
Enchanted creature becomes a Elemental","--Her mother meddles more daintily than the greatest fifth
– Anonymous",,,,,
Blessed Scale,B,Creature - Spirit (1/1),"
2BB, Pay 5 life: destroy target nonblack creature with power 4 or more.
4: add G to your mana pool","--Even the best scale blesses stronger than the fiercest milk
– 4chan of Minorad",,,,,
Growth Rite Druid,GG,Creature - Elf Druid (1/2),"
G, Discard a card: target creature gets +2/+3 until end of turn. Activate only as a sorcery.",,,,,,
Yoink,1UU,Sorcery - Generated,"
attach target Equipment to target creature. Gain control of that Equipment until end of turn and regenerate that Equipment",,,,,,
Half of Angels Mercy,GGGG,Sorcery - Arcane,"
you gain 4 life",--ANGELS MERCY??,,,,,
Rise of Nature's Folk,4R,Legendary Enchantment,"
All artifacts gain protection from white
As long as you control at least ten permanents, All Elementals get +5/-1
All enchanted creatures can't block","--His ball embiggens the whispered zebra
– Rimet, Jade Druid",,,,,
Shildmage Ghost,W,Creature - Spirit (2/1),"
All creatures with both power and toughness 2 or more can block an additional creature","--His power made of dreams endures even one friction yet can defeat even the mightiest mitten
But universe can crush even the balloon
– Anonymous",,,,,
Unchantment Assimilation,WUB,Sorcery - Generated,"
return two target tapped nonlegendary enchantments to their owner's hand

Spellmorph 1WUB",,,,,,
Observer Kami,UBB,Creature - Spirit (2/2),"
Whenever a creature is dealt damage, flip ~this~.
~this~ can't block
",,kami,"Zürk, the Watchfull",,Legendary Creature - Spirit (4/3),"Whenever ~this~ becomes blocked, target player may 
Discard a instant card. If that player does, you may search your library for a card, reveal it, and put it into your hand. If you do, you shuffle that library afterwards. fear"
"Meenus, Improbable Survivor",1R,Legendary Creature - Goblin Warrior (1/2),"
When ~this~ is put into a graveyard from the battlefield, put a improbability counter on target permanent
1R: each creature with a improbability counter on it gets +4/+0 until end of turn","--Meenus had always believed in life after death, but he didn't think it'd be this good.",,,,,
Putrid Stenchsnake,1BBBBB,Creature - Zombie Snake Wizard (2/1),"
4: ~this~ deals 3 damage to each player","--Even the dime can defeat
– Oarra Asha the Keen",,,,,
Young Goblin Grenadeer,2R,Creature - Goblin Warrior (1/1),"
Whenever ~this~ blocks a creature, you may Discard a card. If you do, ~this~ deals 1 damage divided as you choose among any number of target players with 2 life or more for each basic land type among lands you control
If ~this~ would regenerate, instead ~this~ gains protection from black until end of turn","--Just one doll made of solid floats louder than the hugest dog would
– Smisusp Slanone, Guardian of the Moor",,,,,
Check your Privilege,1G,Instant - Generated,"
target Elf gets +4/+2 until end of turn","--Yup, still an Elf, still the best.",,,,,
Spring of Unlikelyhood,2RR,Enchantment,"
BRG, Tap an untapped green permanent you control: copy target activated ability and you may choose new targets for the copy
Sacrifice ~this~: put a improbability counter on target permanent
Each enchantment with a improbability counter on it gains ''Whenever you becomes the target of a colourless instant spell with converted mana cost 4 or more, you may pay R. If you do, destroy all Mountains''",,,,,,
Deli Erit,1B,Planeswalker - Deli (Loyalty 3),"
+3: all creatures with power 3 get -2/-0 until end of turn
-4: destroy target nonblack creature
-10: target player may search his or her library for a creature card, reveal it, and put it into its owner's graveyard. If that player does, that player shuffles that library afterwards.",,,,,,
Take over,WUBRG,Sorcery,"
Flashback X blue mana, where X is the number of cards in your hand
attach target Aura to target Wizard. Gain control of that Aura until end of turn
",,double,Pest Incarnate,4BBB,Creature - Human Minion (1/2),"Whenever ~this~ is dealt damage, ~this~ deals 5 damage to each of two target players and those players lose 3 life 1BB, T: destroy target creature. It can't be regenerated."
Dynamite Hawk,3,Creature - Bird (2/1),"
Flying
Sacrifice ~this~: ~this~ deals 5 damage to each attacking creature and each blocking creature. Activate this ability only in the end of combat step (after damage is dealt) If a creature damaged this way would be put into a graveyard this turn, exile it instead",,,,,,
See the light,WUBRG,Instant,"
target tapped creature gets +1/+1 (This effect doesn't end)
","--A single title transcends even the fastest lock
– Anonymous (?)",double,Mechamystical Insight,1WWWW,Instant - Arcane,"Choose one: Return target enchantment card from your graveyard to the battlefield; or Return target artifact card from your graveyard to hand; or you may search your library for a artifact card, reveal it, and put it into your hand. If you do, you shuffle that library afterwards."
Faded Fountain,,Land,"
~this~ enters the battlefield tapped.
T: add 1 to your mana pool
Pay 4 life, T, sacrifice ~this~: search your library for a land card and put it into the battlefield, then shuffle your library
Whenever you gain life, target opponent may pay X, where X is the number of basic land types among lands you control. If that player doesn't, target blue creature gets +2/+2 until end of turn ",,,,,,
Cultiweight,(W/U)(B/R)G,Sorcery,"
search your library for a Forest card and put it into the battlefield, then shuffle your library",,,,,,
Amunition Hoarder,BR,Creature - Goblin Warrior (1/3),"
Sacrifice ~this~: ~this~ deals 6 damage to target player and that player may search his or her library for a sorcery card, reveal it, and put it into his or her hand. If that player does, that player shuffles that library afterwards.",,,,,,
Garbage Dump,,Land,"T: add 1 to your mana pool
GG, T: add 1B to your mana pool",,,,,,
Come and get some,UBR,Sorcery,"
clash with an opponent. If you win, clash with an opponent. If you win, regenerate target Spirit
","-- When sleepy, Humanity embiggens the fastest month
– Unknown I",double,Spellweaver Apprentice,1B,Creature - Human Cleric (1/2),"5B: an opponent loses 2 life and you gain that much life you may cast 
Arcane spells with converted mana cost 1 or less without paying their mana cost"
Well of Colours,,Land,"
~this~ enters the battlefield tapped.
4WW, Sacrifice ~this~, T: add R to your mana pool for each card in your graveyard
1UU, T, sacrifice ~this~: search your library for a Island card and put it into the battlefield, then shuffle your library
T: add G to your mana pool",,,,,,
Breakmake Woblin,1RRR,Creature - Goblin Warrior (3/3),"
All creatures gain ''Sacrifice a enchantment: ~this~ deals 2 damage to target creature or player. If a creature damaged this way would be put into a graveyard this turn, exile it instead''
Whenever you cast a artifact spell, all creatures get +1/+0 until end of turn for each colour among creatures an opponent controls",,,,,,
A Sneaky Gent,R,Creature - Goblin Rogue (2/2),"
All green enchantments gain ''Whenever a land becomes the target of a spell or ability, attach target Equipment to target creature. (Control of that Equipment doesn't change.) and that Equipment gains protection from white (This effect doesn't end) ''
4R: target Rogue gains ''2: target player reveals cards from the top of his or her library until that player reveals a sorcery card, puts that card into hand, and puts the rest into his or her graveyard'' until end of turn","--Even the most stalwart bedroom's dust can rally to a single gun
– Ekot Fateat, Traitor Hermit",,,,,
Councils Wallear,UB,Creature - Vedalken Rogue (1/2),"
Whenever a permanent becomes the target of a sorcery spell, put a time counter on ~this~. If ~this~ has X or more time counters on it, where X is the number of lands you control, flip it.
",,kami,"Himea, Bringer of Torment",,Legendary Creature - Vedalken Rogue (7/2),"Whenever ~this~ deals damage to a creature, you may put a creature card from hand onto the battlefield"
The Yellow from the Egg,1UU,Instant,"
any number of target permanents can't be the target of activated abilities until end of turn and those permanents get -3/-0 until end of turn","--Nature backs stronger than the daughter shall
Though nature enlarges even the whispered cow
– Saileine, Merchant Knight",,,,,
